filename	title	artist	place	date	caption	description	permalink	image_url
kp595st5511_NY44_14_PM.jpg	IBM Fishkill	Douglas Menuez		1986	IBM researcher Daniel Edelstein (left) in conversation with a colleague.		https://purl.stanford.edu/kp595st5511	https://stacks.stanford.edu/image/iiif/kp595st5511/NY44_14_PM/full/full/0/default.jpg
kq323ws1236_88237_15A_PM.jpg	Sun 1992	Douglas Menuez		1992	Sun employees at the Sonoma Mission Inn during a company retreat.		https://purl.stanford.edu/kq323ws1236	https://stacks.stanford.edu/image/iiif/kq323ws1236/88237_15A_PM/full/full/0/default.jpg
kq505ns0185_8478_03_PM.jpg	Adobe July 1990	Douglas Menuez		1990-07	Adobe founder Chuck Geschke (left), NeXT founder Steve Jobs (center) and Adobe founder John Warnock.		https://purl.stanford.edu/kq505ns0185	https://stacks.stanford.edu/image/iiif/kq505ns0185/8478_03_PM/full/full/0/default.jpg
kq512sj7272_0110_17A_PM.jpg	NeXT 1986	Douglas Menuez		1986-10	Susan Karen, NeXT creative director, who was one of the first ten employees of the company.		https://purl.stanford.edu/kq512sj7272	https://stacks.stanford.edu/image/iiif/kq512sj7272/0110_17A_PM/full/full/0/default.jpg
kr096wx4637_8845_34_PM.jpg	Apple 1990-1991 #1	Douglas Menuez		1990	Michael Spindler, who served as Apple's CEO from 1993 to 1996.		https://purl.stanford.edu/kr096wx4637	https://stacks.stanford.edu/image/iiif/kr096wx4637/8845_34_PM/full/full/0/default.jpg
kr159kx1225_13_02A_PM.jpg	IBM 11/97	Douglas Menuez		1997-11	Gerd Binnig, a 1986 Nobel Laureate in Physics.		https://purl.stanford.edu/kr159kx1225	https://stacks.stanford.edu/image/iiif/kr159kx1225/13_02A_PM/full/full/0/default.jpg
kr903mq8026_27866_26_PM.jpg	Adobe 1989 Binder 1	Douglas Menuez		1989	Adobe Creative Director Russell Brown (far right) in conversation.		https://purl.stanford.edu/kr903mq8026	https://stacks.stanford.edu/image/iiif/kr903mq8026/27866_26_PM/full/full/0/default.jpg
ks375vv4435_8846_0A_PM.jpg	Apple 1990-1991 #1	Douglas Menuez		1990	Michael Spindler, COO and executive vice president of Apple, in conversation with Apple CEO John Sculley.		https://purl.stanford.edu/ks375vv4435	https://stacks.stanford.edu/image/iiif/ks375vv4435/8846_0A_PM/full/full/0/default.jpg
ks707ww6206_22064_25A_PM.jpg	Farallon 1989 Jan.-Nov	Douglas Menuez		1989	Barbara Tien, Farallon's director of product management, talks and points on the white board while a colleague listens.		https://purl.stanford.edu/ks707ww6206	https://stacks.stanford.edu/image/iiif/ks707ww6206/22064_25A_PM/full/full/0/default.jpg
ks830jh8081_81810_15A_PM.jpg	Adobe 1992 #1	Douglas Menuez		1992	Outside Adobe's Mountain View, California, offices.		https://purl.stanford.edu/ks830jh8081	https://stacks.stanford.edu/image/iiif/ks830jh8081/81810_15A_PM/full/full/0/default.jpg
kt127yr4083_8557_26_PM.jpg	Adobe 1990 #3	Douglas Menuez		1990	Artist David Hockney at the computer with an unidentified male during the 1990 Adobe Photoshop Invitational.		https://purl.stanford.edu/kt127yr4083	https://stacks.stanford.edu/image/iiif/kt127yr4083/8557_26_PM/full/full/0/default.jpg
kt209nv0260_46597_34_PM.jpg	Kleiner Perkins 1996	Douglas Menuez		1996-09	Clinton dinner.		https://purl.stanford.edu/kt209nv0260	https://stacks.stanford.edu/image/iiif/kt209nv0260/46597_34_PM/full/full/0/default.jpg
kv466cf6409_61169_11_PM.jpg	NeXT, 1986-1987	Douglas Menuez		1986	NeXT Founder Steve Jobs (center) with members of NeXT's Board of Directors H. Ross Perot (left) and John P. Crecine, Carnegie Mellon's senior vice president for academic affairs. Both Perot and Carnegie Mellon made substantial financial investments in NeXT.		https://purl.stanford.edu/kv466cf6409	https://stacks.stanford.edu/image/iiif/kv466cf6409/61169_11_PM/full/full/0/default.jpg
kx063xf7375_08345_05A_PM.jpg	Adobe 1988 Binder 1	Douglas Menuez		1988	Adobe co-founder John Warnock.		https://purl.stanford.edu/kx063xf7375	https://stacks.stanford.edu/image/iiif/kx063xf7375/08345_05A_PM/full/full/0/default.jpg
kx307yb4377_21_10A_PM.jpg	IBM 11/97	Douglas Menuez		1997-11	Jean Fompeyrine of IBM's Advanced Functional Materials Group in his lab.		https://purl.stanford.edu/kx307yb4377	https://stacks.stanford.edu/image/iiif/kx307yb4377/21_10A_PM/full/full/0/default.jpg
kx480qr7497_8849_27_PM.jpg	Apple 1990-1991 #1	Douglas Menuez		1990	Apple Computer CEO John Sculley.		https://purl.stanford.edu/kx480qr7497	https://stacks.stanford.edu/image/iiif/kx480qr7497/8849_27_PM/full/full/0/default.jpg
kx659pp4808_25667_3_PM.jpg	NeXT 1989	Douglas Menuez		1989-06-15	Canon executives enjoy lunch in a NeXT conference room shortly before the Japanese camera and office equipment manufacturer announced its plan to invest $100 million in NeXT for a 16.67 percent stake in the company.		https://purl.stanford.edu/kx659pp4808	https://stacks.stanford.edu/image/iiif/kx659pp4808/25667_3_PM/full/full/0/default.jpg
kz002cy2757_8473_28A_PM.jpg	Adobe 1990 #3	Douglas Menuez		1990-07	Pat Marriott, director of marketing for Adobe's Systems Products Division (foreground).		https://purl.stanford.edu/kz002cy2757	https://stacks.stanford.edu/image/iiif/kz002cy2757/8473_28A_PM/full/full/0/default.jpg
kz127cx1311_73031_31_PM.jpg	Adobe 1991	Douglas Menuez		1991	An Adobe employee ready for Halloween.		https://purl.stanford.edu/kz127cx1311	https://stacks.stanford.edu/image/iiif/kz127cx1311/73031_31_PM/full/full/0/default.jpg
kz806pk7951_8324_06A_PM.jpg	Farallon 1990 Jan.-June	Douglas Menuez		1990	Farallon Founder Reese Jones (center) reviews documents with colleagues.		https://purl.stanford.edu/kz806pk7951	https://stacks.stanford.edu/image/iiif/kz806pk7951/8324_06A_PM/full/full/0/default.jpg
mb075pg0740_1_3_PM.jpg	Adobe 1994 Book 1	Douglas Menuez		1994	Russell Brown, Adobe creative director.		https://purl.stanford.edu/mb075pg0740	https://stacks.stanford.edu/image/iiif/mb075pg0740/1_3_PM/full/full/0/default.jpg
mc208hz1467_NY10_06_PM.jpg	IBM	Douglas Menuez		1986	John Heidenreich, IBM research manager.		https://purl.stanford.edu/mc208hz1467	https://stacks.stanford.edu/image/iiif/mc208hz1467/NY10_06_PM/full/full/0/default.jpg
mc237pw0352_65_16A_PM.jpg	IBM 11/97 Burlington	Douglas Menuez		1997-11	IBM clean room technicians.		https://purl.stanford.edu/mc237pw0352	https://stacks.stanford.edu/image/iiif/mc237pw0352/65_16A_PM/full/full/0/default.jpg
mc401df8425_NY35_28_PM.jpg	IBM	Douglas Menuez		1986	IBM clean room workers.		https://purl.stanford.edu/mc401df8425	https://stacks.stanford.edu/image/iiif/mc401df8425/NY35_28_PM/full/full/0/default.jpg
mc796ph5789_63432_21A_PM.jpg	Newton 1993 #1	Douglas Menuez		1993-01	Apple Chairman John Sculley faces the media.		https://purl.stanford.edu/mc796ph5789	https://stacks.stanford.edu/image/iiif/mc796ph5789/63432_21A_PM/full/full/0/default.jpg
md432wv9555_16849_16A_PM.jpg	Adobe 1988 Binder 1	Douglas Menuez		1988	Dave Pratt joined Adobe in 1988 to launch its application business.		https://purl.stanford.edu/md432wv9555	https://stacks.stanford.edu/image/iiif/md432wv9555/16849_16A_PM/full/full/0/default.jpg
mf682bx3025_9640_01A_PM.jpg	Adobe 1991 #1	Douglas Menuez		1991	Paul Anderson of Adobe Systems.		https://purl.stanford.edu/mf682bx3025	https://stacks.stanford.edu/image/iiif/mf682bx3025/9640_01A_PM/full/full/0/default.jpg
mg908zb0804_70149_24_PM.jpg	Newton 1993 #4	Douglas Menuez		1993-05	Every evening, the children of the Newton engineers could be seen roaming the halls of the research lab, playing and visiting with their parents. Here they are helping out by creatively rewriting some technical product specifications and strategy diagrams.		https://purl.stanford.edu/mg908zb0804	https://stacks.stanford.edu/image/iiif/mg908zb0804/70149_24_PM/full/full/0/default.jpg
