"filename","permalink","caption","ignore"
"ft846tp7930","https://purl.stanford.edu/ft846tp7930","Chinese wedding- outdoor group shot","1"
"fx229kd8832","https://purl.stanford.edu/fx229kd8832","Identity certificate- Lee Sai Kai","2"
"gk389qv3374","https://purl.stanford.edu/gk389qv3374","Actress Hua Chi-mei standing with hand resting on table","2"
"gn845rd6023","https://purl.stanford.edu/gn845rd6023","Young girl, long hair, pagoda and flower pots background","2"
"gq581fm9499","https://purl.stanford.edu/gq581fm9499","Woman in costume, hand on trellis","2"
"gq590fg1363","https://purl.stanford.edu/gq590fg1363","Young woman, posed in front of pagoda, wearing long silk robes","2"
"gq611pn1553","https://purl.stanford.edu/gq611pn1553","Banquet--Korean representatives","1"
"gs280ck7238","https://purl.stanford.edu/gs280ck7238","Woman holding fan","2"
"gs561tm9353","https://purl.stanford.edu/gs561tm9353","Actress with basket (hand on hip)","2"
"gs895jv1796","https://purl.stanford.edu/gs895jv1796","Woman, large head piece standing shoulder width apart, holding long object","2"
"gt339ss4722","https://purl.stanford.edu/gt339ss4722","Woman standing with peacock feather fan","2"
"gt472pt3769","https://purl.stanford.edu/gt472pt3769","Young man holding double ended sword","2"
"gv023gh5424","https://purl.stanford.edu/gv023gh5424","Actress with fan and headress","2"
"gv095dh6420","https://purl.stanford.edu/gv095dh6420","Young woman, beaded costume, pursed lips, river background","2"
"gv562hz0838","https://purl.stanford.edu/gv562hz0838","5 inset photos-young girl","1"
"gx130dg0786","https://purl.stanford.edu/gx130dg0786","Theatre scene - actors holding flags","2"
"hb574yk4395","https://purl.stanford.edu/hb574yk4395","Children - group photo on steps of school","1"
"hc091gh9679","https://purl.stanford.edu/hc091gh9679","stage scene--Chinese fighting Japanese with Japanese general in tent looking on","1"
"hc223pz0004","https://purl.stanford.edu/hc223pz0004","stage scene--republicans fighting warlord soldiers","2"
"hd328qf7031","https://purl.stanford.edu/hd328qf7031","Man, long hair, large feathered head piece, holding out right arm","2"
"hg281tw6878","https://purl.stanford.edu/hg281tw6878","Young woman- copy print","1"
"hh252mp1299","https://purl.stanford.edu/hh252mp1299","Young girl, holding small object, courtyard background","2"
"hm366mm7680","https://purl.stanford.edu/hm366mm7680","Portrait of an actor/actress in traditional Chinese theater costume (hand-colored photographic print, embellished with glitter)","1"
"hm431zr2498","https://purl.stanford.edu/hm431zr2498","Group outside the Young China","1"
"hp351kv3849","https://purl.stanford.edu/hp351kv3849","Members of the Kuomintang party gather in front of a painted set depicting the grave of the 72 Martyrs","2"
"hp885mv0178","https://purl.stanford.edu/hp885mv0178","Actress Tan Xiufang standing with metal basket with flowers","2"
"hq075kt3130","https://purl.stanford.edu/hq075kt3130","Male acrobat with bare chest","2"
"hq547rv2548","https://purl.stanford.edu/hq547rv2548","Group of women outside de Young Museum by the Pool of Enchantment","1"
"hr090pm4332","https://purl.stanford.edu/hr090pm4332","Young man in winged costume, waterfalls background","2"
"ht399gc7240","https://purl.stanford.edu/ht399gc7240","Woman in costume, trellis background","2"
"hv520nh6167","https://purl.stanford.edu/hv520nh6167","Standing actress with water sleeves and embroidered backdrop","2"
"jb013fs6946","https://purl.stanford.edu/jb013fs6946","Identity certificate- Yee Yow Foon","2"
"jb049mf9122","https://purl.stanford.edu/jb049mf9122","Standing actor in large headress, holding fan","2"
"jd588qx1112","https://purl.stanford.edu/jd588qx1112","Man with spear-hand on hip","1"
"jf148hg3785","https://purl.stanford.edu/jf148hg3785","Portrait of an actor in traditional Chinese theater costume (hand-colored photographic print, embellished with glitter)","1"
"jf952pj1821","https://purl.stanford.edu/jf952pj1821","Young girl, short hair, flowered gown","2"
"jg916xp8475","https://purl.stanford.edu/jg916xp8475","ID card- Lee Yuen","2"
"jk913hq2267","https://purl.stanford.edu/jk913hq2267","Man, with long white beard","2"
"jk980dd4440","https://purl.stanford.edu/jk980dd4440","Mei Lanfang and San Francisco mayor James Rolph--group portrait--enlargement","2"
"jn550fp5219","https://purl.stanford.edu/jn550fp5219","Woman holding closed fan, resting both hands on a column","2"
"jn777qb9514","https://purl.stanford.edu/jn777qb9514","Man, opera make up, long beard","2"
"jn978ht9241","https://purl.stanford.edu/jn978ht9241","Young lady in costume, holding tasseled object, trees background","2"
"jt547nb5382","https://purl.stanford.edu/jt547nb5382","Form of Chinese Certificate- Lau Hung Kwan","2"
"jv925bg4147","https://purl.stanford.edu/jv925bg4147","Interior store scene--Chinatown","2"
"jy658wr4468","https://purl.stanford.edu/jy658wr4468","Scene with emperor Pu Yi, Empress Dowager and other members of the Qing Court","2"
"kb880fv7405","https://purl.stanford.edu/kb880fv7405","Young girl next to cherry blossom tree","2"
"kd141qr3919","https://purl.stanford.edu/kd141qr3919","Actor, leaning against table, wearing a peacock dress","2"
"kd932vf4482","https://purl.stanford.edu/kd932vf4482","Standing actor with a fan - copy print","2"
"kg155vd1269","https://purl.stanford.edu/kg155vd1269","Young girl in costume, headpiece. holding sword","2"
